date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:45:18	1703/1703	---M-Z	404	error ('Not%20Found')	text/html	date:Wed,%2019%20Jul%202023%2017:15:19%20GMT	http://eastboundgroup.com/robots.txt		(from )
22:45:19	39621/39621	---MCZ	200	added ('OK')	text/html	date:Wed,%2019%20Jul%202023%2017:15:19%20GMT	http://eastboundgroup.com/	D:/Cpp/HTTrack-web-modification/eastboundgroup.com/index.html	(from )
22:45:19	122672/122672	---M-Z	200	added ('OK')	text/css	date:Fri,%2018%20Oct%202019%2006:04:38%20GMT	http://eastboundgroup.com/css/bootstrap.min.css	D:/Cpp/HTTrack-web-modification/eastboundgroup.com/css/bootstrap.min.css	(from http://eastboundgroup.com/)
22:45:20	34480/34480	---M-Z	200	added ('OK')	text/css	date:Fri,%2018%20Oct%202019%2006:04:46%20GMT	http://eastboundgroup.com/css/jquery-ui.css	D:/Cpp/HTTrack-web-modification/eastboundgroup.com/css/jquery-ui.css	(from http://eastboundgroup.com/)
22:45:21	4639/4639	---M-Z	200	added ('OK')	text/css	date:Fri,%2018%20Oct%202019%2006:04:53%20GMT	http://eastboundgroup.com/css/owl.carousel.css	D:/Cpp/HTTrack-web-modification/eastboundgroup.com/css/owl.carousel.css	(from http://eastboundgroup.com/)
22:45:21	11003/11003	---M-Z	200	added ('OK')	text/css	date:Fri,%2018%20Oct%202019%2006:04:39%20GMT	http://eastboundgroup.com/css/chosen.css	D:/Cpp/HTTrack-web-modification/eastboundgroup.com/css/chosen.css	(from http://eastboundgroup.com/)
22:45:21	23763/23763	---M-Z	200	added ('OK')	text/css	date:Fri,%2018%20Oct%202019%2006:04:45%20GMT	http://eastboundgroup.com/css/font-awesome.min.css	D:/Cpp/HTTrack-web-modification/eastboundgroup.com/css/font-awesome.min.css	(from http://eastboundgroup.com/)
22:45:22	5741/5741	---M-Z	200	added ('OK')	text/css	date:Fri,%2018%20Oct%202019%2006:04:43%20GMT	http://eastboundgroup.com/css/flaticon-enterprise.css	D:/Cpp/HTTrack-web-modification/eastboundgroup.com/css/flaticon-enterprise.css	(from http://eastboundgroup.com/)
22:45:22	5666/5666	---M-Z	200	added ('OK')	text/css	date:Fri,%2018%20Oct%202019%2006:05:00%20GMT	http://eastboundgroup.com/css/streamline-icon.css	D:/Cpp/HTTrack-web-modification/eastboundgroup.com/css/streamline-icon.css	(from http://eastboundgroup.com/)
22:45:23	70824/70824	---M-Z	200	added ('OK')	text/css	date:Fri,%2018%20Oct%202019%2006:04:34%20GMT	http://eastboundgroup.com/css/animate.css	D:/Cpp/HTTrack-web-modification/eastboundgroup.com/css/animate.css	(from http://eastboundgroup.com/)
22:45:23	3533/3533	---M-Z	200	added ('OK')	text/css	date:Fri,%2018%20Oct%202019%2006:04:41%20GMT	http://eastboundgroup.com/css/easy-responsive-tabs.css	D:/Cpp/HTTrack-web-modification/eastboundgroup.com/css/easy-responsive-tabs.css	(from http://eastboundgroup.com/)
22:45:23	766/766	---M-Z	200	added ('OK')	text/css	date:Fri,%2018%20Oct%202019%2006:04:50%20GMT	http://eastboundgroup.com/css/lightbox.min.css	D:/Cpp/HTTrack-web-modification/eastboundgroup.com/css/lightbox.min.css	(from http://eastboundgroup.com/)
22:45:24	6945/6945	---M-Z	200	added ('OK')	text/css	date:Fri,%2018%20Oct%202019%2006:04:44%20GMT	http://eastboundgroup.com/css/flexslider.css	D:/Cpp/HTTrack-web-modification/eastboundgroup.com/css/flexslider.css	(from http://eastboundgroup.com/)
22:45:24	9328/9328	---M-Z	200	added ('OK')	text/css	date:Fri,%2018%20Oct%202019%2006:05:08%20GMT	http://eastboundgroup.com/css/YTPlayer.css	D:/Cpp/HTTrack-web-modification/eastboundgroup.com/css/YTPlayer.css	(from http://eastboundgroup.com/)
22:45:25	354/354	---M-Z	200	added ('OK')	text/css	date:Fri,%2018%20Oct%202019%2006:05:04%20GMT	http://eastboundgroup.com/css/stylesheet.css	D:/Cpp/HTTrack-web-modification/eastboundgroup.com/css/stylesheet.css	(from http://eastboundgroup.com/)
22:45:25	485/485	---M-Z	200	added ('OK')	text/css	date:Fri,%2018%20Oct%202019%2006:08:18%20GMT	http://eastboundgroup.com/nexa-font/font.css	D:/Cpp/HTTrack-web-modification/eastboundgroup.com/nexa-font/font.css	(from http://eastboundgroup.com/)
22:45:26	86733/86733	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2018%20Oct%202019%2006:08:07%20GMT	http://eastboundgroup.com/js/popup1.js	D:/Cpp/HTTrack-web-modification/eastboundgroup.com/js/popup1.js	(from http://eastboundgroup.com/)
22:45:26	37069/37069	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2018%20Oct%202019%2006:08:07%20GMT	http://eastboundgroup.com/js/popup2.js	D:/Cpp/HTTrack-web-modification/eastboundgroup.com/js/popup2.js	(from http://eastboundgroup.com/)
22:45:27	241562/241562	---M-Z	200	added ('OK')	text/css	date:Tue,%2030%20Aug%202022%2009:51:41%20GMT	http://eastboundgroup.com/css/style.css	D:/Cpp/HTTrack-web-modification/eastboundgroup.com/css/style.css	(from http://eastboundgroup.com/)
22:45:29	39621/39621	---MCZ	200	added ('OK')	text/html	date:Wed,%2019%20Jul%202023%2017:15:29%20GMT	http://eastboundgroup.com/index.php	D:/Cpp/HTTrack-web-modification/eastboundgroup.com/index-2.html	(from http://eastboundgroup.com/)
22:45:29	18379/18379	---M--	200	added ('OK')	image/png	date:Wed,%2015%20Apr%202020%2012:15:43%20GMT	http://eastboundgroup.com/images/Logo-combined.png	D:/Cpp/HTTrack-web-modification/eastboundgroup.com/images/Logo-combined.png	(from http://eastboundgroup.com/)
22:45:29	16906/16906	---M-Z	200	added ('OK')	text/html	date:Wed,%2019%20Jul%202023%2017:15:30%20GMT	http://eastboundgroup.com/about-us.php	D:/Cpp/HTTrack-web-modification/eastboundgroup.com/about-us.html	(from http://eastboundgroup.com/)
22:45:30	16261/16261	---M-Z	200	added ('OK')	text/html	date:Wed,%2019%20Jul%202023%2017:15:31%20GMT	http://eastboundgroup.com/our-group.php	D:/Cpp/HTTrack-web-modification/eastboundgroup.com/our-group.html	(from http://eastboundgroup.com/)
22:45:30	35287/35287	---MCZ	200	added ('OK')	text/html	date:Wed,%2019%20Jul%202023%2017:15:31%20GMT	http://eastboundgroup.com/team.php	D:/Cpp/HTTrack-web-modification/eastboundgroup.com/team.html	(from http://eastboundgroup.com/)
22:45:31	16702/16702	---M-Z	200	added ('OK')	text/html	date:Wed,%2019%20Jul%202023%2017:15:32%20GMT	http://eastboundgroup.com/contact-us.php	D:/Cpp/HTTrack-web-modification/eastboundgroup.com/contact-us.html	(from http://eastboundgroup.com/)
22:45:31	13491/13491	---MCZ	200	added ('OK')	text/html	date:Wed,%2019%20Jul%202023%2017:15:32%20GMT	http://eastboundgroup.com/destinations.php	D:/Cpp/HTTrack-web-modification/eastboundgroup.com/destinations.html	(from http://eastboundgroup.com/)
22:45:31	23001/23001	---M-Z	200	added ('OK')	text/html	date:Wed,%2019%20Jul%202023%2017:15:33%20GMT	http://eastboundgroup.com/services.php	D:/Cpp/HTTrack-web-modification/eastboundgroup.com/services.html	(from http://eastboundgroup.com/)
22:45:32	13195/13195	---M-Z	200	added ('OK')	text/html	date:Wed,%2019%20Jul%202023%2017:15:33%20GMT	http://eastboundgroup.com/csr.php	D:/Cpp/HTTrack-web-modification/eastboundgroup.com/csr.html	(from http://eastboundgroup.com/)
22:45:32	57949/57949	---M-Z	200	added ('OK')	text/html	date:Wed,%2019%20Jul%202023%2017:15:33%20GMT	http://eastboundgroup.com/eastnews.php	D:/Cpp/HTTrack-web-modification/eastboundgroup.com/eastnews.html	(from http://eastboundgroup.com/)
22:52:24	176188/176188	---M--	200	added ('OK')	image/png	date:Wed,%2029%20Jun%202022%2018:28:16%20GMT	http://eastboundgroup.com/images/ep.png	D:/Cpp/HTTrack-web-modification/eastboundgroup.com/images/ep.png	(from http://eastboundgroup.com/)
22:52:40	290224/290224	---M--	200	added ('OK')	image/png	date:Wed,%2029%20Jun%202022%2018:25:47%20GMT	http://eastboundgroup.com/images/hs.png	D:/Cpp/HTTrack-web-modification/eastboundgroup.com/images/hs.png	(from http://eastboundgroup.com/)
22:52:42	14122/14122	---MCZ	200	added ('OK')	text/html	date:Wed,%2019%20Jul%202023%2017:22:42%20GMT	http://eastboundgroup.com/discovery-trips.php	D:/Cpp/HTTrack-web-modification/eastboundgroup.com/discovery-trips.html	(from http://eastboundgroup.com/)
